Epoch    GPU_mem   box_loss   obj_loss   cls_loss  Instances       Size
   563/1999        10G    0.01833   0.009003   0.008543         85        640: 100%|██████████| 162/162 [01:05<00:00,  2.48it/s]                           
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 27/27 [00:17<00:00,  1.55it/s]                  
                   all       3448      10017      0.884      0.888      0.915      0.825
Stopping training early as no improvement observed in last 100 epochs. Best results observed at epoch 463, best model saved as best.pt.
To update EarlyStopping(patience=100) pass a new patience value, i.e. `python train.py --patience 300` or use `--patience 0` to disable EarlyStopping.

564 epochs completed in 13.372 hours.
Optimizer stripped from Traffic_signs/exp15/weights/last.pt, 15.5MB
Optimizer stripped from Traffic_signs/exp15/weights/best.pt, 15.5MB

Validating Traffic_signs/exp15/weights/best.pt...
Fusing layers... 
Model summary: 157 layers, 7549525 parameters, 0 gradients, 17.5 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 27/27 [00:22<00:00,  1.21it/s]                  
                   108       3448         44      0.989          1      0.995      0.926
                   109       3448         51      0.972          1      0.995      0.934
                   110       3448         51      0.952          1      0.995      0.941
                   111       3448         46      0.956          1      0.995      0.931
                   112       3448         56      0.982      0.994      0.995      0.891
                   113       3448         51      0.974          1      0.995      0.907
                   114       3448         52      0.986          1      0.995      0.892
                   115       3448         39      0.989          1      0.995       0.88
                   116       3448         59      0.881      0.864      0.964      0.866
                   117       3448         48      0.889      0.979      0.982      0.885
                   118       3448         54      0.986      0.944       0.99      0.854
                   119       3448         43      0.979          1      0.995      0.929
                   120       3448         51       0.99          1      0.995      0.903
                   121       3448         49       0.98          1      0.995      0.922
                   122       3448         48      0.897      0.912      0.947      0.805
                   123       3448         51      0.964       0.98      0.994      0.924
                   124       3448         61      0.975          1      0.995       0.92
                   125       3448         54      0.991      0.963      0.965      0.888
                   126       3448         45      0.985      0.956      0.988      0.879
                   127       3448         41      0.958          1      0.995      0.921
                   128       3448         47      0.994      0.936      0.984      0.874
                   129       3448         58      0.987      0.966      0.984      0.889
                   130       3448         52      0.981      0.968      0.994      0.929
                   131       3448         55      0.981          1      0.995      0.926
                   132       3448         38      0.923      0.974      0.983        0.9
                   133       3448         52      0.972      0.981      0.994      0.909
                   134       3448         45      0.997          1      0.995      0.901
                   135       3448         50      0.878       0.94      0.955      0.842
                   136       3448         42      0.987          1      0.995      0.911
                   137       3448         60      0.977      0.983       0.99      0.906
                   138       3448         47      0.967          1      0.994      0.935
                   139       3448         57      0.986      0.982      0.986      0.917
                   140       3448         49      0.969      0.939      0.954      0.902
                   141       3448         52      0.921      0.962      0.988      0.911
                   142       3448         49      0.792      0.776      0.883      0.823
                   143       3448         49      0.891      0.857      0.939      0.875
                   144       3448         46      0.932          1      0.995      0.936
                   145       3448         47      0.958      0.978      0.992      0.922
                   146       3448         58      0.791      0.948      0.961      0.888
