Epoch    GPU_mem   box_loss   obj_loss   cls_loss  Instances       Size
   990/1999      9.59G    0.01995    0.01029    0.01296        171        640: 100%|██████████| 167/167 [00:48<00:00,  3.45it/s]                              
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 28/28 [00:15<00:00,  1.78it/s]                     
                   all       3448      10017      0.865      0.884      0.913      0.807
Stopping training early as no improvement observed in last 100 epochs. Best results observed at epoch 890, best model saved as best.pt.
To update EarlyStopping(patience=100) pass a new patience value, i.e. `python train.py --patience 300` or use `--patience 0` to disable EarlyStopping.

991 epochs completed in 18.288 hours.
Optimizer stripped from Traffic_signs_v5n_scratch/exp/weights/last.pt, 4.4MB
Optimizer stripped from Traffic_signs_v5n_scratch/exp/weights/best.pt, 4.4MB

Validating Traffic_signs_v5n_scratch/exp/weights/best.pt...
Fusing layers... 
YOLOv5n_200 summary: 157 layers, 2029765 parameters, 0 gradients, 5.0 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 28/28 [00:20<00:00,  1.39it/s]                     
                   106       3448         58      0.987          1      0.995      0.885
                   107       3448         59      0.909      0.966      0.957      0.865
                   108       3448         44      0.965          1      0.995      0.901
                   109       3448         51      0.959          1      0.995      0.923
                   110       3448         51      0.929          1      0.995      0.885
                   111       3448         46      0.917      0.978      0.983      0.903
                   112       3448         56      0.982      0.996      0.995      0.887
                   113       3448         51      0.982          1      0.995      0.898
                   114       3448         52      0.986      0.981      0.994      0.883
                   115       3448         39      0.963          1      0.995      0.867
                   116       3448         59      0.895      0.864      0.946      0.839
                   117       3448         48      0.888      0.938      0.964      0.869
                   118       3448         54      0.963      0.926      0.942      0.765
                   119       3448         43      0.981          1      0.995      0.904
                   120       3448         51          1       0.96      0.995      0.915
                   121       3448         49      0.986          1      0.995       0.92
                   122       3448         48      0.933      0.866      0.903      0.768
                   123       3448         51      0.935       0.98       0.97      0.874
                   124       3448         61      0.955      0.984      0.994      0.895
                   125       3448         54      0.925      0.944      0.961      0.842
                   126       3448         45       0.96      0.978      0.994      0.862
                   127       3448         41          1      0.974      0.992      0.894
                   128       3448         47      0.976      0.864      0.957      0.841
                   129       3448         58      0.976      0.966      0.983      0.852
                   130       3448         52      0.919      0.981      0.989      0.905
                   131       3448         55          1      0.999      0.995      0.908
                   132       3448         38      0.907      0.947      0.956      0.838
                   133       3448         52      0.928      0.962      0.988      0.875
                   134       3448         45      0.965          1      0.995      0.891
                   135       3448         50      0.884       0.96      0.959      0.815
                   136       3448         42      0.986          1      0.995       0.88
                   137       3448         60      0.892      0.967      0.977      0.882
                   138       3448         47      0.901          1      0.989       0.91
                   139       3448         57      0.982       0.93      0.987      0.896
                   140       3448         49      0.975      0.918      0.929      0.849
                   141       3448         52      0.975      0.942      0.977      0.883
                   142       3448         49      0.877      0.837      0.914      0.824
                   143       3448         49      0.792      0.837        0.9      0.805
                   144       3448         46      0.911          1      0.995      0.909
                   145       3448         47      0.927      0.936       0.98      0.894
                   146       3448         58      0.787      0.845      0.917      0.847
                   147       3448         47      0.585       0.33       0.46      0.319
                   148       3448         39      0.488      0.615      0.614      0.452
                   149       3448         58      0.702      0.621      0.766      0.669
                   150       3448         58      0.814       0.69      0.797        0.7
                   151       3448         54      0.553      0.519      0.518      0.419
                   152       3448         45       0.56      0.622      0.621      0.536
                   153       3448         39      0.926      0.949       0.97       0.86
                   154       3448         50       0.86        0.8      0.855      0.706
                   155       3448         54      0.916      0.907      0.967      0.807
                   156       3448         49      0.945       0.98      0.972      0.854
                   157       3448         49      0.901       0.93      0.975       0.82
                   158       3448         42       0.93          1      0.994      0.893
                   159       3448         53      0.927          1      0.991      0.852
                   160       3448         48       0.88      0.979      0.988      0.889
                   161       3448         54      0.963      0.965      0.992       0.91
                   162       3448         44      0.925      0.864      0.947      0.887
                   163       3448         41      0.857      0.951      0.967      0.904
                   164       3448         59          1      0.897      0.986      0.912
                   165       3448         43      0.857          1      0.977      0.924
                   166       3448         50      0.964       0.98      0.975      0.869
                   167       3448         53      0.898      0.962       0.99      0.911
                   168       3448         46      0.893      0.978      0.989      0.919
                   169       3448         56      0.983          1      0.995      0.841
                   170       3448         61      0.947      0.951      0.982      0.838
                   171       3448         51      0.959          1      0.995      0.911
                   172       3448         58      0.788      0.966      0.963      0.839
                   173       3448         53      0.961          1      0.992      0.873
                   174       3448         51      0.497      0.902      0.611       0.52
                   175       3448         52      0.478      0.879       0.61      0.507
                   176       3448         44       0.65       0.75      0.763      0.636
                   177       3448         41      0.652      0.778      0.792      0.648
                   178       3448        137      0.863      0.832      0.871      0.693
                   179       3448         61      0.961      0.967      0.992      0.866
                   180       3448         60      0.966      0.957      0.965      0.795
                   181       3448         53      0.718      0.604      0.781      0.626
                   182       3448         42      0.656      0.905      0.895      0.814
                   183       3448         40      0.549      0.725      0.634      0.519
                   184       3448         40      0.744      0.825      0.873      0.736
                   185       3448         53      0.908          1      0.972      0.769
                   186       3448         41      0.647       0.78        0.7      0.505
                   187       3448         34      0.464      0.441       0.44      0.282
                   188       3448         40     0.0726    0.00545      0.376      0.221
                   189       3448         43      0.836      0.977      0.974      0.777
                   190       3448         35      0.347      0.286      0.379      0.284
                   191       3448         48      0.582      0.125      0.463      0.289
                   192       3448         33          0          0       0.32      0.241
                   193       3448         41      0.604      0.557      0.596      0.398
                   194       3448         31      0.293     0.0645      0.318      0.214
                   195       3448         80      0.875      0.787      0.835      0.705
                   196       3448         56      0.903      0.875      0.906      0.781
                   197       3448         57       0.93      0.933      0.961      0.809
                   198       3448         56      0.935      0.929      0.973      0.815
