Epoch    GPU_mem   box_loss   obj_loss   cls_loss  Instances       Size
   482/1999      8.34G    0.01816   0.008542    0.00826         66        640: 100%|██████████| 492/492 [02:11<00:00,  3.74it/s]                                                                       
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 83/83 [00:22<00:00,  3.73it/s]                                                              
                   all       3448      10017      0.933      0.923      0.955      0.873
Stopping training early as no improvement observed in last 100 epochs. Best results observed at epoch 382, best model saved as best.pt.
To update EarlyStopping(patience=100) pass a new patience value, i.e. `python train.py --patience 300` or use `--patience 0` to disable EarlyStopping.

483 epochs completed in 21.059 hours.
Optimizer stripped from Traffic_signs_v5m_scratch/exp/weights/last.pt, 43.8MB
Optimizer stripped from Traffic_signs_v5m_scratch/exp/weights/best.pt, 43.8MB

Validating Traffic_signs_v5m_scratch/exp/weights/best.pt...
Fusing layers... 
YOLOv5m_200 summary: 212 layers, 21657093 parameters, 0 gradients, 50.4 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 83/83 [00:26<00:00,  3.10it/s]                                                              
                   108       3448         44      0.981          1      0.995      0.949
                   109       3448         51      0.986          1      0.995       0.92
                   110       3448         51       0.97          1      0.995      0.934
                   111       3448         46      0.982      0.978      0.994      0.927
                   112       3448         56      0.992          1      0.995      0.924
                   113       3448         51      0.987          1      0.995      0.916
                   114       3448         52      0.972          1      0.995      0.889
                   115       3448         39      0.987          1      0.995      0.887
                   116       3448         59      0.917      0.936      0.971        0.9
                   117       3448         48      0.905      0.979      0.993      0.927
                   118       3448         54      0.996      0.963      0.984      0.872
                   119       3448         43      0.966          1      0.995      0.951
                   120       3448         51      0.989          1      0.995      0.942
                   121       3448         49      0.988          1      0.995      0.944
                   122       3448         48      0.916      0.938      0.952      0.829
                   123       3448         51      0.944          1      0.995      0.935
                   124       3448         61      0.992          1      0.995      0.925
                   125       3448         54      0.988      0.963      0.965      0.901
                   126       3448         45      0.981          1      0.995      0.898
                   127       3448         41      0.964          1      0.995      0.924
                   128       3448         47      0.987          1      0.995      0.918
                   129       3448         58      0.993      0.983      0.985      0.902
                   130       3448         52      0.977          1      0.995      0.948
                   131       3448         55          1      0.998      0.995       0.92
                   132       3448         38      0.962          1      0.995       0.91
                   133       3448         52      0.982          1      0.995      0.925
                   134       3448         45      0.987      0.978      0.995      0.917
                   135       3448         50      0.925       0.92      0.948      0.857
                   136       3448         42      0.983          1      0.995       0.93
                   137       3448         60      0.966          1      0.993      0.914
                   138       3448         47      0.987          1      0.995      0.934
                   139       3448         57      0.999          1      0.995      0.938
                   140       3448         49      0.966      0.939      0.955      0.897
                   141       3448         52      0.987      0.981      0.994      0.922
                   142       3448         49      0.913      0.918      0.974      0.892
                   143       3448         49      0.915      0.883      0.973      0.898
                   144       3448         46      0.949          1      0.995      0.951
                   145       3448         47          1      0.955      0.995      0.918
                   146       3448         58       0.89      0.948      0.983      0.934
                   147       3448         47      0.681      0.545      0.665      0.522
                   148       3448         39      0.596      0.795      0.744      0.606
                   149       3448         58      0.886      0.724      0.878      0.793
                   150       3448         58      0.857      0.829      0.925      0.832
                   151       3448         54      0.698      0.771      0.772      0.687
                   152       3448         45      0.677      0.793      0.871      0.774
                   153       3448         39      0.974          1      0.994      0.904
                   154       3448         50      0.919      0.909      0.944       0.78
                   155       3448         54      0.956          1      0.994      0.846
                   156       3448         49      0.965       0.98      0.987      0.891
                   157       3448         49      0.979          1      0.995      0.864
                   158       3448         42      0.977      0.998      0.995        0.9
                   159       3448         53      0.963      0.995      0.992       0.88
